Entity;;;Cantril ladder score;;Life satisfaction
Afghanistan;;;32033;;14209593
Albania;;;47186;;13317093
Algeria;;;52113;;11630.68
Argentina;;;60863;;22747242
Armenia;;;45594;;12715109
Australia;;;7228;;49029105
Austria;;;7246;;55258.37
Azerbaijan;;;52077;;14209593
Bahrain;;;61994;;46389266
Bangladesh;;;44558;;4440856
Belarus;;;53225;;18974.7
Belgium;;;6923;;16545999
Benin;;;48832;;98222.84
Bhutan;;;50821;;35133832
Bolivia;;;57793;;31159023
Bosnia and Herzegovina;;;53865;;37984133
Botswana;;;34884;;26976465
Brazil;;;62998;;11295315
Bulgaria;;;5011;;13875936
Burkina Faso;;;45868;;6072748
Burundi;;;37753;;41965.89
Cambodia;;;46998;;40256953
Cameroon;;;50437;;12860321
Canada;;;72781;;3888701
Central African Republic;;;3083;;43697617
Chad;;;43495;;19005654
Chile;;;6444;;52349293
China;;;51909;;70597.29
Colombia;;;61248;;34153223
Comoros;;;39728;;25902012
Congo;;;48115;;18095736
Costa Rica;;;71674;;20613342
Cote d'Ivoire;;;49438;;64112896
Croatia;;;54318;;26250373
Cyprus;;;60458;;11385366
Czechia;;;68521;;28318436
Democratic Republic of Congo;;;44181;;14845345
Denmark;;;76001;;28160889
Dominican Republic;;;54253;;39455637
Ecuador;;;60276;;21247922
